A1,Room 20,Room 23,Room 36,Room 10,Room 21
A2,Room 23,Room 36,Room 10,Room 21,Room 22
A3,Room 36,Room 10,Room 21,Room 22,Room 6
A4,Room 10,Room 21,Room 22,Room 6,Room 32
A5,Room 21,Room 22,Room 6,Room 32,Room 30
A6,Room 22,Room 6,Room 32,Room 30,Room 9
A7,Room 6,Room 32,Room 30,Room 9,Room 33
A8,Room 32,Room 30,Room 9,Room 33,Room 4
B1,Room 30,Room 9,Room 33,Room 4,Room 3
B2,Room 9,Room 33,Room 4,Room 3,Room 24
B3,Room 33,Room 4,Room 3,Room 24,Room 8
B4,Room 4,Room 3,Room 24,Room 8,Room 34
B5,Room 3,Room 24,Room 8,Room 34,Room 38
B6,Room 24,Room 8,Room 34,Room 38,Room 2
B7,Room 8,Room 34,Room 38,Room 2,Room 35
B8,Room 34,Room 38,Room 2,Room 35,Room 29
C1,Room 38,Room 2,Room 35,Room 29,Room 11
C2,Room 2,Room 35,Room 29,Room 11,Room 26
C3,Room 35,Room 29,Room 11,Room 26,Room 14
C4,Room 29,Room 11,Room 26,Room 14,Room 15
C5,Room 11,Room 26,Room 14,Room 15,Room 7
C6,Room 26,Room 14,Room 15,Room 7,Room 31
C7,Room 14,Room 15,Room 7,Room 31,Room 25
C8,Room 15,Room 7,Room 31,Room 25,Room 28
D1,Room 7,Room 31,Room 25,Room 28,Room 27
D2,Room 31,Room 25,Room 28,Room 27,Room 40
D3,Room 25,Room 28,Room 27,Room 40,Room 17
D4,Room 28,Room 27,Room 40,Room 17,Room 18
D5,Room 27,Room 40,Room 17,Room 18,Room 5
D6,Room 40,Room 17,Room 18,Room 5,Room 13
D7,Room 17,Room 18,Room 5,Room 13,Room 37
D8,Room 18,Room 5,Room 13,Room 37,Room 1
E1,Room 5,Room 13,Room 37,Room 1,Room 16
E2,Room 13,Room 37,Room 1,Room 16,Room 12
E3,Room 37,Room 1,Room 16,Room 12,Room 39
E4,Room 1,Room 16,Room 12,Room 39,Room 19
E5,Room 16,Room 12,Room 39,Room 19,Room 13
E6,Room 12,Room 39,Room 19,Room 13,Room 5
E7,Room 39,Room 19,Room 13,Room 5,Room 13
E8,Room 19,Room 13,Room 5,Room 13,Room 37
F1,Room 13,Room 5,Room 13,Room 37,Room 12
F2,Room 5,Room 13,Room 37,Room 12,Room 16
F3,Room 13,Room 37,Room 12,Room 16,Room 19
F4,Room 37,Room 12,Room 16,Room 19,Room 39
F5,Room 12,Room 16,Room 19,Room 39,Room 31
F6,Room 16,Room 19,Room 39,Room 31,Room 7
F7,Room 19,Room 39,Room 31,Room 7,Room 28
F8,Room 39,Room 31,Room 7,Room 28,Room 25
G1,Room 31,Room 7,Room 28,Room 25,Room 40
G2,Room 7,Room 28,Room 25,Room 40,Room 27
G3,Room 28,Room 25,Room 40,Room 27,Room 18
G4,Room 25,Room 40,Room 27,Room 18,Room 17
G5,Room 40,Room 27,Room 18,Room 17,Room 2
G6,Room 27,Room 18,Room 17,Room 2,Room 38
G7,Room 18,Room 17,Room 2,Room 38,Room 29
G8,Room 17,Room 2,Room 38,Room 29,Room 35
H1,Room 2,Room 38,Room 29,Room 35,Room 26
H2,Room 38,Room 29,Room 35,Room 26,Room 11
H3,Room 29,Room 35,Room 26,Room 11,Room 15
H4,Room 35,Room 26,Room 11,Room 15,Room 14
H5,Room 26,Room 11,Room 15,Room 14,Room 9
H6,Room 11,Room 15,Room 14,Room 9,Room 30
H7,Room 15,Room 14,Room 9,Room 30,Room 4
H8,Room 14,Room 9,Room 30,Room 4,Room 33
J1,Room 9,Room 30,Room 4,Room 33,Room 24
J2,Room 30,Room 4,Room 33,Room 24,Room 3
J3,Room 4,Room 33,Room 24,Room 3,Room 34
J4,Room 33,Room 24,Room 3,Room 34,Room 8
J5,Room 24,Room 3,Room 34,Room 8,Room 23
J6,Room 3,Room 34,Room 8,Room 23,Room 20
J7,Room 34,Room 8,Room 23,Room 20,Room 10
J8,Room 8,Room 23,Room 20,Room 10,Room 36
K1,Room 23,Room 20,Room 10,Room 36,Room 22
K2,Room 20,Room 10,Room 36,Room 22,Room 21
K3,Room 10,Room 36,Room 22,Room 21,Room 32
K4,Room 36,Room 22,Room 21,Room 32,Room 6
K5,Room 22,Room 21,Room 32,Room 6,Room 20
K6,Room 21,Room 32,Room 6,Room 20,Room 23
K7,Room 32,Room 6,Room 20,Room 23,Room 36
K8,Room 6,Room 20,Room 23,Room 36,Room 10
