Seed,Team,Prelim Group,Playoff Bracket
J1,University Lab (IL),Aruba,Balearic
J2,Greenhill (TX),Aruba,Balearic
K3,Russell (KY),Aruba,Falklands
K4,Troy (MI),Aruba,Falklands
E5,TJHSST C (VA),Aruba,Pelagie
E6,Miami Valley (OH),Aruba,Pelagie
G7,Southside (SC),Aruba,Tonga
G8,Eldon (MO),Aruba,Tonga
K1,Detroit Country Day A (MI),Barbuda,Azores
K2,Chattahoochee B (GA),Barbuda,Azores
E3,Barrington A (IL),Barbuda,Kuril
E4,Lexington (MA),Barbuda,Kuril
A5,Centennial (MD),Barbuda,Leeward
A6,Solon B (OH),Barbuda,Leeward
D7,TJHSST D (VA),Barbuda,Tonga
D8,University of Toronto Schools (ON),Barbuda,Tonga
D1,Lambert (GA),Cozumel,Dodecanese
D2,TAG Magnet (TX),Cozumel,Dodecanese
F3,Hoover (AL),Cozumel,Kuril
F4,Woodford County (KY),Cozumel,Kuril
B5,Plato Academy B (MD),Cozumel,Maldives
B6,Northmont (OH),Cozumel,Maldives
B7,Auburn B (IL),Cozumel,Ryukyu
B8,South Burlington (VT),Cozumel,Ryukyu
C1,TJHSST A (VA),Dominica,Canary
C2,High Tech (NJ),Dominica,Canary
H3,Westview (CA),Dominica,Hebrides
H4,Wayzata B (MN),Dominica,Hebrides
C5,Ithaca (NY),Dominica,Nicobar
C6,Chattahoochee C (GA),Dominica,Nicobar
K7,Adlai E. Stevenson B (IL),Dominica,Quirimbas
K8,Fort Osage (MO),Dominica,Quirimbas
E1,Chattahoochee A (GA),Eleuthera,Elaphiti
E2,Arcadia (CA),Eleuthera,Elaphiti
B3,Ladue (MO),Eleuthera,Galapagos
B4,Cinco Ranch (TX),Eleuthera,Galapagos
F5,Barrington B (IL),Eleuthera,Pelagie
F6,TJHSST B (VA),Eleuthera,Pelagie
A7,Northfield (MN),Eleuthera,Quirimbas
A8,George Wythe (VA),Eleuthera,Quirimbas
B1,Hunter A (NY),Flanagan,Balearic
B2,Belmont (MA),Flanagan,Balearic
D3,Del Norte (CA),Flanagan,Juan Fernandez
D4,Detroit Country Day B (MI),Flanagan,Juan Fernandez
H5,Auburn A (IL),Flanagan,Nicobar
H6,Maggie Walker B (VA),Flanagan,Nicobar
F7,Richard Montgomery B (MD),Flanagan,Vanuatu
F8,Biotech (NJ),Flanagan,Vanuatu
F1,St. Mark's (TX),Grenada,Elaphiti
F2,Hunter B (NY),Grenada,Elaphiti
C3,Great Valley (PA),Grenada,Hebrides
C4,Solon A (OH),Grenada,Hebrides
G5,Norfolk Academic Guild (VA),Grenada,Orkney
G6,Canyon Crest (CA),Grenada,Orkney
E7,Carbondale (IL),Grenada,Vanuatu
E8,Rock Bridge (MO),Grenada,Vanuatu
H1,Beavercreek (OH),Hispaniola,Canary
H2,Manheim Township (PA),Hispaniola,Canary
G3,Plato Academy A (MD),Hispaniola,Juan Fernandez
G4,Saint Joseph (IN),Hispaniola,Juan Fernandez
D5,Detroit Catholic Central (MI),Hispaniola,Orkney
D6,Parkway West (MO),Hispaniola,Orkney
C7,IMSA (IL),Hispaniola,Seychelles
C8,TJHSST E (VA),Hispaniola,Seychelles
G1,Wayzata A (MN),Jamaica,Dodecanese
G2,Choate (CT),Jamaica,Dodecanese
A3,Kinkaid (TX),Jamaica,Falklands
A4,NCSSM (NC),Jamaica,Falklands
J5,Langley (VA),Jamaica,Maldives
J6,Johns Creek (GA),Jamaica,Maldives
J7,Grain Valley (MO),Jamaica,Ryukyu
J8,Winston Churchill (MD),Jamaica,Ryukyu
A1,Richard Montgomery A (MD),Key West,Azores
A2,Adlai E. Stevenson A (IL),Key West,Azores
J3,East Chapel Hill (NC),Key West,Galapagos
J4,Wayzata C (MN),Key West,Galapagos
K5,Hotchkiss (CT),Key West,Leeward
K6,Maggie Walker A (VA),Key West,Leeward
H7,Lisgar (ON),Key West,Seychelles
H8,Troy NJROTC (CA),Key West,Seychelles
